DATE,LRUN64TTUSQ156S
1970-01-01,4.16944920890508
1970-04-01,4.8102509994113
1970-07-01,5.31890533309901
1970-10-01,5.82467209401295
1971-01-01,5.99279420304422
1971-04-01,6.02065363103162
1971-07-01,6.13403215416104
1971-10-01,5.98450600168623
1972-01-01,5.86518980240547
1972-04-01,5.78004477243426
1972-07-01,5.70005926311487
1972-10-01,5.32238196848225
1973-01-01,5.04222039099766
1973-04-01,5.00816313374138
1973-07-01,4.90325473375681
1973-10-01,4.79588850298855
1974-01-01,5.16182887912946
1974-04-01,5.26585264697742
1974-07-01,5.71688249592829
1974-10-01,6.63497285831139
1975-01-01,8.40311188801455
1975-04-01,8.91523811823822
1975-07-01,8.56898214730311
1975-10-01,8.33535421675775
1976-01-01,7.87380681206806
1976-04-01,7.60775362590269
1976-07-01,7.78866308977683
1976-10-01,7.83434305754707
1977-01-01,7.62190403341081
1977-04-01,7.16230421019279
1977-07-01,6.96121812833994
1977-10-01,6.67831526924629
1978-01-01,6.39116812998799
1978-04-01,6.02866620780175
1978-07-01,6.09031505224883
1978-10-01,5.95849902509926
1979-01-01,5.92197620857244
1979-04-01,5.77658951559949
1979-07-01,5.95212845653614
1979-10-01,6.04660034649237
1980-01-01,6.37731867965214
1980-04-01,7.40382463997981
1980-07-01,7.77656667791298
1980-10-01,7.56999597395671
1981-01-01,7.51856839143751
1981-04-01,7.51567977953856
1981-07-01,7.54615880901508
1981-10-01,8.43645043307428
1982-01-01,8.96586377707358
1982-04-01,9.62467682449642
1982-07-01,10.0888728435876
1982-10-01,10.9062137227264
1983-01-01,10.5501314475185
1983-04-01,10.2997462497308
1983-07-01,9.46072664096924
1983-10-01,8.72799960453701
1984-01-01,7.97399046359061
1984-04-01,7.61500790937305
1984-07-01,7.5362190690663
1984-10-01,7.40596662539731
1985-01-01,7.37198306817208
1985-04-01,7.38964629659608
1985-07-01,7.28672637347985
1985-10-01,7.17184498958846
1986-01-01,7.11148970599086
1986-04-01,7.28700843944304
1986-07-01,7.06602269190976
1986-10-01,6.94621281711399
1987-01-01,6.72220427877269
1987-04-01,6.38902642595095
1987-07-01,6.08712986868794
1987-10-01,5.95160029895248
1988-01-01,5.80018231591294
1988-04-01,5.5685718393935
1988-07-01,5.55651882712461
1988-10-01,5.41917278860611
1989-01-01,5.27229218660958
1989-04-01,5.31925268814364
1989-07-01,5.33683750653307
1989-10-01,5.43321242000555
1990-01-01,5.3960026418296
1990-04-01,5.44169303593192
1990-07-01,5.74099591754756
1990-10-01,6.1852770022246
1991-01-01,6.69610087046815
1991-04-01,6.92558224318964
1991-07-01,6.91761346796101
1991-10-01,7.2152197385978
1992-01-01,7.50521889662768
1992-04-01,7.65779606730284
1992-07-01,7.71295032705667
1992-10-01,7.55629252283236
1993-01-01,7.24521430017896
1993-04-01,7.16931466983167
1993-07-01,6.90151495497295
1993-10-01,6.762949982421
1994-01-01,6.64270861383355
1994-04-01,6.2335226911889
1994-07-01,6.0534932273555
1994-10-01,5.67154501857809
1995-01-01,5.52672257959268
1995-04-01,5.7244965280941
1995-07-01,5.71219094974424
1995-10-01,5.62186452097148
1996-01-01,5.61565633443231
1996-04-01,5.51278821616593
1996-07-01,5.3297226473579
1996-10-01,5.34894399345279
1997-01-01,5.30742540673307
1997-04-01,5.01699138665638
1997-07-01,4.90930374648454
1997-10-01,4.70524318213521
1998-01-01,4.73305226362658
1998-04-01,4.4463817074659
1998-07-01,4.57137434530299
1998-10-01,4.42550350438329
1999-01-01,4.34880850433589
1999-04-01,4.26814143086816
1999-07-01,4.26972907093958
1999-10-01,4.10191250560994
2000-01-01,4.09428818867407
2000-04-01,3.96823617061505
2000-07-01,4.05506356833156
2000-10-01,3.94640504219218
2001-01-01,4.29670439890939
2001-04-01,4.47562728758161
2001-07-01,4.86240591240783
2001-10-01,5.58877454836112
2002-01-01,5.80403458982176
2002-04-01,5.90071502322031
2002-07-01,5.77259243986578
2002-10-01,5.93414059435897
2003-01-01,5.95470413314599
2003-04-01,6.21263600261684
2003-07-01,6.14111549412209
2003-10-01,5.93288344496264
2004-01-01,5.77388239029665
2004-04-01,5.64216318883514
2004-07-01,5.47796352964147
2004-10-01,5.47807484055786
2005-01-01,5.33246715001948
2005-04-01,5.17047814126979
2005-07-01,5.02640583848815
2005-10-01,5.0183616501095
2006-01-01,4.7899229587894
2006-04-01,4.73854027538627
2006-07-01,4.69872550437758
2006-10-01,4.51150085031586
2007-01-01,4.57442372398296
2007-04-01,4.55738179543708
2007-07-01,4.71341565868076
2007-10-01,4.85918601312684
2008-01-01,5.00968154521516
2008-04-01,5.40747368048705
2008-07-01,6.10361155296777
2008-10-01,6.98893832627856
2009-01-01,8.38984771353778
2009-04-01,9.38539863436218
2009-07-01,9.73267335240308
2009-10-01,10.0877815064395
2010-01-01,9.94811144138802
2010-04-01,9.83168988089244
2010-07-01,9.59899140530283
2010-10-01,9.70133531004129
2011-01-01,9.15594253259235
2011-04-01,9.20528777675371
2011-07-01,9.10694929139314
2011-10-01,8.80658642591215
2012-01-01,8.34808865760484
2012-04-01,8.26603249477721
2012-07-01,8.09851878710345
2012-10-01,7.9701005954625
2013-01-01,7.79058488874501
2013-04-01,7.6688007406001
2013-07-01,7.39807143184704
2013-10-01,7.10242083472135
2014-01-01,6.73522059785137
2014-04-01,6.291683915456
2014-07-01,6.16105646349012
2014-10-01,5.8126454998272
2015-01-01,5.61884590902021
2015-04-01,5.50658426845997
2015-07-01,5.18724578305961
2015-10-01,5.14372129668752
2016-01-01,5.01830964211859
