DATE,oil_cpi
1947-01-01,8.500
1947-02-01,8.500
1947-03-01,8.500
1947-04-01,8.700
1947-05-01,8.700
1947-06-01,8.700
1947-07-01,8.900
1947-08-01,9.500
1947-09-01,9.500
1947-10-01,9.500
1947-11-01,9.700
1947-12-01,9.800
1948-01-01,10.000
1948-02-01,10.000
1948-03-01,10.100
1948-04-01,10.200
1948-05-01,10.600
1948-06-01,10.700
1948-07-01,10.900
1948-08-01,11.100
1948-09-01,11.000
1948-10-01,11.000
1948-11-01,11.000
1948-12-01,11.000
1949-01-01,11.000
1949-02-01,11.000
1949-03-01,11.100
1949-04-01,10.900
1949-05-01,10.800
1949-06-01,10.800
1949-07-01,10.800
1949-08-01,10.700
1949-09-01,10.700
1949-10-01,10.900
1949-11-01,10.900
1949-12-01,11.000
1950-01-01,11.000
1950-02-01,11.000
1950-03-01,11.100
1950-04-01,11.100
1950-05-01,11.100
1950-06-01,11.200
1950-07-01,11.200
1950-08-01,11.300
1950-09-01,11.300
1950-10-01,11.500
1950-11-01,11.500
1950-12-01,11.500
1951-01-01,11.600
1951-02-01,11.700
1951-03-01,11.800
1951-04-01,11.800
1951-05-01,12.000
1951-06-01,12.000
1951-07-01,12.000
1951-08-01,11.900
1951-09-01,11.900
1951-10-01,11.800
1951-11-01,11.900
1951-12-01,11.800
1952-01-01,11.800
1952-02-01,11.800
1952-03-01,11.900
1952-04-01,11.900
1952-05-01,12.000
1952-06-01,12.000
1952-07-01,12.300
1952-08-01,12.200
1952-09-01,12.200
1952-10-01,12.300
1952-11-01,12.300
1952-12-01,12.400
1953-01-01,12.400
1953-02-01,12.400
1953-03-01,12.500
1953-04-01,12.500
1953-05-01,12.600
1953-06-01,12.600
1953-07-01,12.800
1953-08-01,12.700
1953-09-01,12.700
1953-10-01,12.700
1953-11-01,12.700
1953-12-01,12.600
1954-01-01,12.600
1954-02-01,12.700
1954-03-01,12.600
1954-04-01,12.600
1954-05-01,12.500
1954-06-01,12.500
1954-07-01,12.500
1954-08-01,12.500
1954-09-01,12.500
1954-10-01,12.600
1954-11-01,12.600
1954-12-01,12.600
1955-01-01,12.600
1955-02-01,12.600
1955-03-01,12.700
1955-04-01,12.700
1955-05-01,12.700
1955-06-01,12.700
1955-07-01,12.700
1955-08-01,12.700
1955-09-01,12.800
1955-10-01,12.800
1955-11-01,12.800
1955-12-01,12.900
1956-01-01,13.000
1956-02-01,13.000
1956-03-01,13.100
1956-04-01,13.100
1956-05-01,13.200
1956-06-01,13.300
1956-07-01,13.300
1956-08-01,13.300
1956-09-01,13.300
1956-10-01,13.500
1956-11-01,13.600
1956-12-01,13.700
1957-01-01,13.900
1957-02-01,13.900
1957-03-01,13.900
1957-04-01,14.000
1957-05-01,14.000
1957-06-01,14.000
1957-07-01,14.100
1957-08-01,14.000
1957-09-01,14.000
1957-10-01,14.000
