186,7/1/85,7.9,94.86666667,50,11,7.286726373,7655.196,190.919998,1.555706024
189,10/1/85,8.103333333,98.53333333,50,11,7.17184499,7712.624,189.820007,0.750183274
192,1/1/86,7.826666667,91.26666667,50,11,7.111489706,7784.109,211.779999,0.926857059
195,4/1/86,6.92,77.06666667,50,11,7.287008439,7819.843,235.520004,0.459063459
198,7/1/86,6.206666667,71.33333333,50,11,7.066022692,7898.555,236.119995,1.006567523
201,10/1/86,6.266666667,70.63333333,50,11,6.946212817,7939.45,243.979996,0.517752931
204,1/1/87,6.22,74.73333333,38.5,11,6.722204279,7994.965,274.079987,0.699229796
207,4/1/87,6.65,76.46666667,38.5,11,6.389026426,8084.71,288.359985,1.122518985
210,7/1/87,6.843333333,80.03333333,38.5,11,6.087129869,8158.035,318.660004,0.906958939
213,10/1/87,6.916666667,80.5,38.5,11,5.951600299,8292.687,251.789993,1.650544525
216,1/1/88,6.663333333,78.66666667,28,15,5.800182316,8339.324,257.070007,0.562387077
219,4/1/88,7.156666667,79.3,28,15,5.568571839,8449.51,261.329987,1.321282157
222,7/1/88,7.983333333,78.66666667,28,15,5.556518827,8498.282,272.019989,0.577216904
225,10/1/88,8.47,75.63333333,28,15,5.419172789,8610.85,278.970001,1.324597136
228,1/1/89,9.443333333,78.9,28,15,5.272292187,8697.711,297.470001,1.008738975
231,4/1/89,9.726666667,80.83333333,28,15,5.319252688,8766.105,309.640015,0.786344821
234,7/1/89,9.083333333,81.5,28,15,5.336837507,8831.544,346.079987,0.746500299
237,10/1/89,8.613333333,85.36666667,28,15,5.43321242,8850.23,340.359985,0.211582482
240,1/1/90,8.25,97.73333333,28,15,5.396002642,8947.129,329.079987,1.0948755
243,4/1/90,8.243333333,87.13333333,28,15,5.441693036,8981.727,330.799988,0.386693877
246,7/1/90,8.16,95.33333333,28,15,5.740995918,8983.945,356.149994,0.024694583
249,10/1/90,7.743333333,116.8666667,28,15,6.185277002,8907.363,304,-0.852431755
252,1/1/91,6.426666667,102.9333333,31,15,6.69610087,8865.564,343.929993,-0.469263462
255,4/1/91,5.863333333,91.26666667,31,15,6.925582243,8934.366,375.339996,0.776058917
258,7/1/91,5.643333333,90.26666667,31,15,6.917613468,8977.252,387.809998,0.480011676
261,10/1/91,4.816666667,93.7,31,15,7.215219739,9016.444,392.450012,0.436570122
264,1/1/92,4.023333333,88.76666667,31,15,7.505218897,9122.95,408.779999,1.18124174
267,4/1/92,3.77,89.8,31,15,7.657796067,9223.545,414.950012,1.102658679
